graph,tags,nodes,edges,algorithm,crossings,mean_edge_length,edge_length_var,path_continuity,runtime_s,status
adjnoun,"[""Informational"", ""Language"", ""Unweighted""]",112,425,"edge_relaxation_fiedler(kr=0.1,kw=0.05)",5979,0.11298122371047503,0.004294275921510995,64.90743553773508,78.41,ok
blumenau_drug,"[""Biological"", ""Drug interactions"", ""Metadata"", ""Weighted""]",75,181,"edge_relaxation_fiedler(kr=0.1,kw=0.05)",512,0.15361765980421246,0.010785822172185303,62.790594901716524,14.92,ok
celegans_interactomes/BPmaps,"[""Biological"", ""Protein interactions"", ""Unweighted""]",345,400,"edge_relaxation_fiedler(kr=0.1,kw=0.05)",152,0.04274886561236731,0.0007228129071980926,50.53764094814089,80.82,ok
ceo_club,"[""Affiliation"", ""Social"", ""Unweighted""]",40,95,"edge_relaxation_fiedler(kr=0.1,kw=0.05)",152,0.2479949950750701,0.022304260595127016,76.35770863980333,2.78,ok
cs_department,"[""Multilayer"", ""Relationships"", ""Social"", ""Unweighted""]",61,353,"edge_relaxation_fiedler(kr=0.1,kw=0.05)",2987,0.17654471690319845,0.008475751603452524,46.91014996566456,20.6,ok
dolphins,"[""Animal"", ""Social"", ""Unweighted""]",62,159,"edge_relaxation_fiedler(kr=0.1,kw=0.05)",231,0.08700611571347282,0.0032066235874289883,43.87247182100221,2.94,ok
dutch_criticism,"[""Offline"", ""Social"", ""Unweighted""]",35,80,"edge_relaxation_fiedler(kr=0.1,kw=0.05)",135,0.10274802200041336,0.0033381060437173773,50.23476082216056,1.57,ok
elite,"[""Affiliation"", ""Social"", ""Unweighted""]",44,99,"edge_relaxation_fiedler(kr=0.1,kw=0.05)",139,0.17028960494288814,0.010798405065998279,63.91065537490902,3.57,ok
facebook_organizations/S2,"[""Online"", ""Social"", ""Unweighted""]",165,726,"edge_relaxation_fiedler(kr=0.1,kw=0.05)",8518,0.09814585990596843,0.0028218777703851805,49.75730886546334,49.51,ok
football,"[""Social"", ""Sports"", ""Unweighted""]",115,613,"edge_relaxation_fiedler(kr=0.1,kw=0.05)",4563,0.1401568270893235,0.015902029913775265,65.69252407044277,122.24,ok
football_tsevans,"[""Social"", ""Sports"", ""Unweighted""]",115,613,"edge_relaxation_fiedler(kr=0.1,kw=0.05)",4563,0.1401568270893235,0.015902029913775265,65.69252407044277,153.91,ok
fullerene_structures/C180,"[""Biological"", ""Chemical"", ""Spatial"", ""Unweighted""]",180,270,"edge_relaxation_fiedler(kr=0.1,kw=0.05)",75,0.08651074334505271,0.002342409911102207,60.62928600112535,37.35,ok
fullerene_structures/C240,"[""Biological"", ""Chemical"", ""Spatial"", ""Unweighted""]",240,360,"edge_relaxation_fiedler(kr=0.1,kw=0.05)",113,0.07775058724161725,0.0006487471493467178,60.80629563438728,32.75,ok
fullerene_structures/C260,"[""Biological"", ""Chemical"", ""Spatial"", ""Unweighted""]",260,390,"edge_relaxation_fiedler(kr=0.1,kw=0.05)",125,0.07315025063973793,0.00012457791720578375,60.664508448793924,33.53,ok
fullerene_structures/C320,"[""Biological"", ""Chemical"", ""Spatial"", ""Unweighted""]",320,480,"edge_relaxation_fiedler(kr=0.1,kw=0.05)",148,0.06615551048011727,0.00024556803636520744,60.5640363196388,96.86,ok
fullerene_structures/C500,"[""Biological"", ""Chemical"", ""Spatial"", ""Unweighted""]",500,750,"edge_relaxation_fiedler(kr=0.1,kw=0.05)",241,0.05369303927653946,0.00019793024607826014,60.18778940037315,377.89,ok
